Petronius   E017600002 E017900008
            E017900008 E018700044
            E018700044 E026300503
            E026300503 E027200507
            E027200507 E030100001
            E030100001 E030600034
            E030600034 E030800041
            E030800041 E031600079
            E031600079 E032200152
            E032200152 E032400159
            E032400159 E037300243
            E037300243 E040900310
            E040900310 E042600337
            E042600337 E053100569
            E053100569 E054500610
            E054500610 E055900633
            E055900633 E058800688
            E058800688 E059100691
            E059100691 E060200008
            E060200008 E060900037
            E060900037 E062900209
            E062900209 E070100427
            E070100427 E070400444
            E070400444 E070700447
            E070700447 E073300529
            E073300529 E081500011
            E081500011 E167500052
            E167500052 E168500081
            E168500081 E170400000
            E170400000 E240200007
            E240200007 E284800558
            E284800558 E311800436
            E311800436 E312701105
            E312701105 E318801238
            E318801238 E319801245
            E319801245 E320201252
            E320201252 E329301392
            E329301392 E336500065
            E336500065 E336800071
            E336800071 E342900144
            E342900144 E345800168
            E345800168 E367900200
            E367900200 E390301080
            E390301080 E413600212
            E413600212 E414000215
            E414000215 E414200224
            E414200224 E414900227
            E414900227 E415000230
            E415000230 E415400232
            E415400232 E415600236
            E415600236 E416000244 
            E416000244 E418100259
            E418100259 E421700040
            E421700040 E422100050
            E422100050 E428700176
            E428700176 E510700024
            E510700024 E512600076
            E512600076 E515700133
            E515700133 E520900313
            E520900313 E522000366
            E522000366 E522400384
            E522400384 E522800392
            E522800392 E529400232
            E529400232 E530500001
            E530500001 E530800018
            E530800018 E534200125
            E534200125 E535100146
            E535100146 E535500156
            E535500156 E535900169
            E535900169 E538500243
            E538500243 E541800307
            E541800307 E545400001
            E545400001 E547100038
            E547100038 E550300036
            E550300036 E550500048
            E550500048 E571900078
            E571900078 E574100150
            E574100150 E580900130
            E580900130 E588000079
            E588000079 E602200040
            E602200040 E617800021
            E617800021 E638400068
            E638400068 E646800145
            E646800145 E651100033
            E651100033 E674400002
            E674400002 E678200024
            E678200024 E693500003
            E693500003 E693900024
            E693900024 E693900028
            E693900028 E712100002
            E712100002 E714000102
            E714000102 E005000209
            E005000209 E006700268
            E006700268 E008100291
            E008100291 E008400323
            E008400323 E009200343
            E009200343 E010400386
            E010400386 E015300584
            E015300584 E016700620
            E016700620 E070200432
            E070200432 E091500032
            E091500032 E152600021
            E152600021 E160000508
            E160000508 E163800616
            E163800616 E164400631
            E164400631 E190400826
            E190400826 E193901080
            E193901080 E207402247
            E207402247 E313301112
            E313301112 E317101209
            E317101209 E319301240
            E319301240 E333100028
            E333100028 E346100774
            E346100774 E415700960
            E415700960 E426700128
            E426700128 E428400162
            E428400162 E429800231
            E429800231 E491000196
            E491000196 E488800164
            E488800164 E491100198
            E491100198 E491600215
            E491600215 E492500244
            E492500244 E493100252
            E493100252 E493300265
            E493300265 E495300295
            E495300295 E497800351
            E497800351 E519500270
            E519500270 E521900356
            E521900356 E521900362
            E521900362 E534800140
            E534800140 E535200149
            E535200149 E696400021
            E696400021 E714500139
            
Ligia       E019300069 E019900123
            E019900123 E031300068
            E031300068 E031800130
            E031800130 E032300156
            E032300156 E033600186
            E033600186 E035500225
            E035500225 E036400232
            E036400232 E036500236
            E036500236 E037400249
            E037400249 E041400316 
            E041400316 E045200383
            E045200383 E047900429
            E047900429 E050500488
            E050500488 E052000543
            E052000543 E056000640
            E056000640 E056900658
            E056900658 E060100003
            E060100003 E060300010
            E060300010 E062000081
            E062000081 E066400066
            E066400066 E066700158
            E066700158 E074000786
            E074000786 E075900942
            E075900942 E075900945
            E075900945 E077401003
            E077401003 E083100137
            E083100137 E088500016
            E088500016 E150000002
            E150000002 E170400010
            E170400010 E171700033
            E171700033 E176500031
            E176500031 E211500039
            E211500039 E211500039
            E211500039 E244900078
            E244900078 E252400281
            E252400281 E279300083
            E279300083 E300400791
            E300400791 E303500840
            E303500840 E303700844
            E303700844 E304200851
            E304200851 E305000862
            E305000862 E306000905
            E306000905 E306400930
            E306400930 E307600966
            E307600966 E307800977
            E307800977 E308300331
            E308300331 E313701125
            E313701125 E314101132
            E314101132 E314801153
            E314801153 E315500559
            E315500559 E315501172
            E315501172 E339700130
            E339700130 E342100140
            E342100140 E347300188
            E347300188 E357100266
            E357100266 E360900041
            E360900041 E367801029
            E367801029 E368300216
            E368300216 E374500375
            E374500375 E381000465
            E381000465 E388200932
            E388200932 E390900298
            E390900298 E396700504
            E396700504 E396800507
            E396800507 E397400061
            E397400061 E401100103
            E401100103 E402100115
            E402100115 E403300124
            E403300124 E407000172
            E407000172 E408300817
            E408300817 E410800194
            E410800194 E435500420
            E435500420 E450800023
            E450800023 E463700369
            E463700369 E469900576
            E469900576 E498700036
            E498700036 E503300178
            E503300178 E505100255
            E505100255 E518300235
            E518300235 E527000143
            E527000143 E527000145
            E527000145 E532200065
            E532200065 E550400044
            E550400044 E551600092
            E551600092 E569200009
            E569200009 E578700000
            E578700000 E588100083
            E588100083 E607400163
            E607400163 E619500055
            E619500055 E644600080
            E644600080 E650500003
            E650500003 E672700037
            E672700037 E675900052
            E675900052 E680700124
            E680700124 E686800286
            E686800286 E687600305
            E687600305 E690200000
            E690200000 E693500000
            E693500000 E696400017
            E696400017 E696900079
            E696900079 E712700029
            E712700029 E010200380
            E010200380 E013200520
            E013200520 E013200522
            E013200522 E014400572
            E014400572 E018800051
            E018800051 E060700026
            E060700026 E061300055
            E061300055 E061800069
            E061800069 E061800084
            E061800084 E072600514
            E072600514 E073300765
            E073300765 E073400766
            E073400766 E075901151
            E075901151 E079301086
            E079301086 E080001117
            E080001117 E090300003
            E090300003 E092600081
            E092600081 E093200095
            E093200095 E093300098
            E093300098 E093300100
            E093300100 E093400109
            E093400109 E096000203
            E096000203 E097600276
            E097600276 E103300500
            E103300500 E107000590
            E107000590 E107500614
            E107500614 E118500894
            E118500894 E152000002
            E152000002 E161200547
            E161200547 E162600593
            E162600593 E164700639
            E164700639 E174100149
            E174100149 E174500157
            E174500157 E174800164
            E174800164 E192100917
            E192100917 E200301611
            E200301611 E192300928
            E192300928 E300000004
            E300000004 E306000910 
            E306000910 E306300214
            E306300214 E308701021
            E308701021 E317601220
            E317601220 E321101265
            E321101265 E329000761
            E329000761 E335000611
            E335000611 E367800568
            E367800568 E387600653
            E387600653 E410500843
            E410500843 E424100076
            E424100076 E432800312
            E432800312 E432800319
            E432800319 E433300334
            E433300334 E435100403
            E435100403 E499100055
            E499100055 E503900193
            E503900193 E504600235
            E504600235 E528500206
            E528500206 E550500050
            E550500050 E551200079
            E551200079 E566900002
            E566900002 E567800018
            E567800018 E647400163
            E647400163 E675800043
            E675800043 E677400116
            E677400116 E677900016
            E677900016 E678600038
            E678600038 E685300229
            E685300229 E686600267
            E686600267 E686600271
            E686600271 E693000093
            E693000093 E696300000
            E696300000 E020900183
            
Aulus       E018400017 E027000506
            E027000506 E027700578
            E027700578 E028000585
            E028000585 E045000377
            E045000377 E046100391
            E046100391 E046600399
            E046600399 E049500453
            E049500453 E052000542
            E052000542 E053500580
            E053500580 E055500622
            E055500622 E055900632
            E055900632 E056700652
            E056700652 E057500675
            E057500675 E060100004 
            E060100004 E066600072
            E066600072 E286800778
            E286800778 E304100850
            E304100850 E369700247
            E369700247 E372800336
            E372800336 E008500330
            E008500330 E031700092
            E031700092 E064800328
            E064800328 E071100470
            E071100470 E077000992
            E077000992 E083200151
            E083200151 E088900030
            E088900030 E091000014
            E091000014 E091400027
            E091400027 E095500177
            E095500177 E096400229
            E096400229 E097900287
            E097900287 E119400931
            E119400931 E164400633
            
Vinicius    E018800053 E021400213
            E021400213 E022100256
            E022100256 E022900273
            E022900273 E034800217
            E034800217 E035700227
            E035700227 E036400233
            E036400233 E036700238
            E036700238 E038100266
            E038100266 E039900293
            E039900293 E052800565
            E052800565 E055400618
            E055400618 E055600626
            E055600626 E056800656
            E056800656 E057000659
            E057000659 E058000680
            E058000680 E058700687
            E058700687 E060500012
            E060500012 E061800080
            E061800080 E073300528
            E073300528 E080400000
            E080400000 E150000000
            E150000000 E167400049
            E167400049 E170400001
            E170400001 E176000014
            E176000014 E176200017
            E176200017 E210300005
            E210300005 E240100004
            E240100004 E269500638
            E269500638 E270200500
            E270200500 E270300003
            E270300003 E272600514
            E272600514 E300400021
            E300400021 E301000799
            E301000799 E301500805
            E301500805 E302800830
            E302800830 E303500839
            E303500839 E303800845
            E303800845 E310001062
            E310001062 E312501104
            E312501104 E316901203
            E316901203 E317801230
            E317801230 E319100604
            E319100604 E320101249
            E320101249 E326900724
            E326900724 E326901357
            E326901357 E329301391
            E329301391 E332100021
            E332100021 E337700086
            E337700086 E347000184
            E347000184 E353800250
            E353800250 E359200277
            E359200277 E360000694
            E360000694 E361400049
            E361400049 E365800143
            E365800143 E367600180
            E367600180 E371200304
            E371200304 E372200323
            E372200323 E374600376
            E374600376 E383000915
            E383000915 E383700499
            E383700499 E384100631
            E384100631 E386400926
            E386400926 E390900018
            E390900018 E396600055
            E396600055 E397400059
            E397400059 E398100068
            E398100068 E398700073
            E398700073 E401100102 
            E401100102 E403900125
            E403900125 E408000174
            E408000174 E408200814
            E408200814 E409700190
            E409700190 E410800851
            E410800851 E411300196
            E411300196 E421700039
            E421700039 E432300292
            E432300292 E434500374
            E434500374 E435200410
            E435200410 E437700460
            E437700460 E441700566
            E441700566 E446400683
            E446400683 E448800764
            E448800764 E449800796
            E449800796 E450300008
            E450300008 E451000042
            E451000042 E458100213
            E458100213 E458700226
            E458700226 E459500244
            E459500244 E463700352
            E463700352 E467700486
            E467700486 E468600528
            E468600528 E469700570
            E469700570 E470800591
            E470800591 E471200601
            E471200601 E471900629
            E471900629 E473200661
            E473200661 E480000002
            E480000002 E480000000
            E480000000 E498200008
