E017900006 E016900526
E030400028 E029800427
E060000000 E059701309
E071900292 E065300213
E080400000 E080300642
E091500039 E087600297
E120400034 E119901048
E150000000 E149700977
E152000003 E151500007
E167400053 E165300416
E170400001 E169500120
E175600000 E175300187
E189500348 E177500088
E210300006 E209901132
E240100005 E239100999
E270000000 E269500960
E300100009 E299901000
E331600037 E329501137
E360000000 E359700832 
E390900034 E389900917
E421700039 E416601044
E450300008 E449900804  
E480000000 E475400695
E498200008 E480100010
E518300236 E508900424
E527500168 E521100323
E531000032 E529700239
E545400000 E545300386 
E550300055 E547800055
E552000000 E551700135
E567200005 E566600551
E569000001 E568700045
E578700001 E578200272
E588000082 E584200213 
E607300152 E589200150
E619200047 E607900189
E642300003 E626900256
E650500006 E650200264
E675800042 E654900163
E677800014 E677400120
E690200004 E687700315 
E693700022 E693300112
E696400014 E695800094
E712100000 E697300102
E019200061 E015500464
E035400279 E028500384
E060100002 E059901312
E065500002 E064900205
E080500003 E080000630
E090900013 E085600202
E120000000 E119801047
E152100006 E149100941
E171400034 E158300215
E185300199 E171500036
E220600432 E205100971
E240200010 E234300848 
E279700254 E262100789
E301000049 E297500912
E330100003 E329501140
E361000062 E351200595
E390000008 E389800690
E420000000 E419901139
E450100001 E449800802
E481600034 E462200308
E484900012 E484700149
E498000002 E497500364
E509300001 E507000321
E524200000 E524000444
E530500000 E529900246
E549900037 E545100383
E557700205 E550700086
E570100033 E566100545
E580400088 E577800245
E585600003 E585300275
E602100037 E598900436
E615500001 E614200350
E617400008 E616100035
E634800095 E629600351
E637000000 E636700165
E652900093 E639000066
E655500009 E654000128
E669200008 E665900387
E674400001 E669700038 
E677600000 E677200108
E690200001 E690000418
E693500001 E692000069
E696900069 E695300073
E703000105 E698700207
E703900014 E703200129
E710500011 E709600262
E712400008 E711700097
E717300075 E714200124
E017600002 E017200536
E030100001 E029800421
E060100004 E059901313
E070100222 E064400190 
E081500015 E080000637
E119901048 E085000178
E120200005 E119701042
E152600025 E149400957
E167500056 E165300410
E170400000 E169100100
E190400393 E173700155
E284800483 E207601069
E310000515 E299500976
E331600036 E329301129
E367900296 E351800620
E390300025 E389800912
E421700040 E419901132
E485400032 E435500417
E510700024 E497800366
E529400232 E523400400
E530500001 E529700238
E545400001 E545100381
E550300054 E547800057
E552200024 E551100109
E571900078 E553500065
E580900134 E575300178
E588000079 E584200214
E602200040 E589400156 
E617800023 E612000288 
E638400050 E626900251
E646800141 E641400102
E651100028 E647100151
E674400002 E653200099
E678200024 E677300111
E693500003 E688500355
E696400017 E695500084
E712100001 E696500032
E715200000 E714800159
E018800043 E014400435
E031000088 E029800430
E060100005 E059801310
E066400059 E065000208
E083100065 E080100639
E088200011 E087200285
E090300004 E089600053
E120000001 E119601031
E150000002 E149500961
E152000002 E150500005
E170400012 E164700393
E176500031 E175300184
E190500405 E177500089
E211500030 E208001089
E244900117 E239701014
E279300242 E263200804
E300000002 E299901003	 
E332500057 E329301130
E360900056 E358600800
E390900035 E389700909
E424100076 E415000953
E450800023 E446700696
E480000004 E474700675 
E498700036 E480000008
E518300235 E508100392 
E527000143 E518600247
E532200065 E528700214
E550300057 E544700375 
E552100022 E551700133
E566900002 E566500550 
E569200009 E568700046
E578700000 E577400236
E588100083 E584200217
E607400163 E589100147 
E619500054 E607600187
E644600081 E626900257
E650500007 E650200263
E672500017 E655000166 
E675800043 E674200119
E677900016 E677400117
E690200000 E687700318
E693500000 E693000107
E696300000 E695800095
E712700029 E697200091
E033100203 E013300400
E061300064 E033100204
E068800167 E062100104
E082700044 E073300338
E103000502 E084800171
E122900106 E107500650
E152600028 E136100527
E193400498 E152700029
E337300201 E193500504
E388300876 E351600616
E396100228 E388300877
E433300336 E401900503
E511100045 E448500758
E526100083 E523400403
E544000348 E528600209
E550300060 E544300363 
E572300085 E551400123
E581000135 E574200162 
E587900077 E585300279
E711300085 E589900163
E018400025 E016300480
E030100003 E029200404
E066600069 E058001242
E083200082 E079300606
E088900038 E086700268
E091000019 E089600054
E121900071 E119601040
E158100199 E149600975
E195900586 E164400385
E286800571 E195900587
E304000162 E299500970
E369700382 E329201123
E403900583 E374600577
E025700290 E014700442
E030000000 E029900434 			 
E062600124 E057901240
E066600070 E065200212
E091000020 E076800492
E129900312 E119601038
E158100200 E149500970
E192700476 E164400386
E214300140 E195900589
E251800396 E216500212 
E292400752 E252100406
E304000161 E299500974
E370200424 E315500751
E390100019 E387000844 
E505000250 E411600855
E527000146 E505000253
E695800096 E529700240 
E697200093 E695900097
E032800192 E018900056 
E109400709 E044800579
E320000875 E117700951
E062400121 E051600935
E065500000 E062600125
E083500119 E079000594
E088300018 E087000281
E090600008 E089400043
E122000077 E108800691
E366400225 E137900586
E545700004 E388200872
E550300056 E547800054
E151600008 E149900982
E151900000 E151700009
E166800001 E166700474
E171500040 E169900128
E176000010 E175300186
E177800004 E177400079
E180200005 E179900090
E210000000 E209301124
E240800032 E239201003
E270100004 E269300954
E307400335 E294500828
E349700539 E313500639
E369800394 E359900841
E458200206 E386200827
E498200009 E474400668
E524400021 E500900102
E576100194 E530100254
E589000142 E578300285
E600500001 E600100482
E637000001 E612000289
E657600079 E642000115
E668900001 E668700456
E184400154 E167900067
E217100280 E203200918
E225900631 E217200284
E240700023 E235600894
E244900119 E240700024
E270800022 E258800684
E300300019 E292000737
E360500023 E315800762
E526300086 E366800241
E654900164 E528200196
E658300116 E654900165
E223900554 E207401060
E240100001 E239501008 
E281100329 E268500937
E310600531 E289900657
E349800545 E327901082
E369700389 E349800546
E529100221 E372100495
E676200070 E529100222
E679300055 E676200071
E303000125 E266000886
E475400693 E309800509
E629800361 E479500829
E632200013 E631800430
E122900104 E107700660
E152100008 E149000937
E193300497 E156200151
E527000151 E193500505
E153100054 E003300093
E198200685 E157100165
E212500071 E207501068
E224100568 E216000200
E230300774 E228800718
E243100080 E239301004
E323600968 E268600938
E381600721 E323800973
E405800645 E382200739
E427800148 E418001078
E459400231 E441700571
E485400034 E468100484 
E501600125 E496600341
E517200206 E501600126
E548900007 E520200297
E583500199 E549300019
E637200011 E584300222
E652600080 E637200014
E695700092 E654400141
E718000098 E695700093
E135100493 E115400874
E202100881 E135100493
E141600732 E004600126
E695600088 E141700740
E070000219 E058201245
E091000021 E070900264
E120600042 E099400375
E152900040 E149600974
E370700443 E164400382
E579100017 E373600542
E052300967 E016900521
E071700288 E054501089
E511000043 E071800289
E155800127 E053801040
E311900590 E158100198
E330000002 E329701143
E405600635 E350200561
E420900025 E416501043
E480700005 E440200537
E484900007 E484600144
E511000041 E496800352 
E525100052 E523400402
E530900020 E530000252
E545800008 E537100202
E549700025 E545900010
E574000133 E551400122
E580400089 E577800244
E637700030 E582300169
E657600078 E641100099
E669100007 E668600454
E676400074 E670200067
E677900015 E677100105
E693500008 E688500353
E713600077 E695300075
E720000152 E714000094 
E086700596 E051400905
E088100000 E087000282
E090200003 E089800057
E120800047 E114900867
E179000058 E149300954
E180800030 E179500079
E217100279 E206501020
E240100000 E239801020
E271800050 E269300952
E303200129 E291100704
E349800543 E328501102
E372100493 E357600774
E393200127 E374600575
E439300506 E409200781
E463700356 E445900659
E498700039 E468400505
E540200269 E507400342
E620400083 E540500275
E643900070 E625700220
E672500012 E647400175
E676200067 E674200118
E679100047 E676200069
E690200005 E687600304
E696400018 E691300048
E042700527 E029000398
E072600310 E058201251
E091500041 E073900366
E133300432 E091500046
E141200713 E138700644
E151700011 E149800981
E163700364 E151700012 
E425200093 E165300423
E408000740 E202000876
E544000346 E412800894
E572800111 E544700378
E650500000 E572800112
E678600035 E650900023
E696900072 E678600037
E712600020 E697600122
E186500267 E176700061
E212800079 E209301125
E257900637 E229600744
E274000103 E266000882
E307400327 E284400470
E360500022 E315500747 
E393100121 E389200895
E442100579 E414100916
E454100126 E446500687 
E480000001 E479900855 
E498000000 E480200014
E527000135 E508900422
E553600066 E527000139
E566800001 E566700559
E579200029 E568000024
E607300159 E580000075
E616500045 E613000331
E649200233 E616500049
E696400010 E650000255
E699400005 E699000212
E703600001 E703300139
E307400329 E176600048
E360500025 E315800765
E397400274 E389500901
E631400408 E415100959 
E632500020 E631700424
E662100261 E633000046
E698600185 E665600365
E707500160 E698600187
E360500026 E315800766
E710500005 E375500617
E676200068 E098100320
E693600013 E676300072
E033700228 E012400354
E080100638 E052500978
E102100454 E080200640
E672600032 E104000545
E046800658 E012600362 
E102700484 E051700937
E672600031 E105700598
E166800000 E166600471
E172400066 E169600122
E177700000 E172800098 
E202000864 E178500045
E240900035 E209301115
E467300447 E240900036
E167000006 E166500460
E172800096 E168300079
E177700001 E172800097
E180300011 E179300072
E180300011 E178800050
E290800688 E265900879
E303000122 E290800689
E359500820 E314100666
E360400007 E359600828
E620300068 E375500610 
E696400008 E621500122
E360400008 E265900880
E620100062 E360400018
E696400007 E625700217
E699400003 E696600033
E353200674 E179600080
E398800336 E353300680
E353200676 E269700965
E167000005 E166500458
E138700640 E017400543
E165300411 E144200820
E190400385 E165300412
E320400883 E190400391
E333400090 E320500888
E534300132 E333400091
E715700026 E535900171
E337300203 E084500159
E595400324 E351300597
E617600017 E595400325
E030300023 E016800498
E083200085 E054201060
E096000221 E083200087
E122200082 E118800994
E152300012 E142200771
E173200122 E164800396
E176600044 E175200181
E182200079 E176700058
E210300005 E207301051
E240200014 E238900994
E280100267 E261200761
E309600498 E295700862
E330200006 E324300993
E364700165 E359800840
E390000000 E387400849
E420300012 E416401034 
E450200006 E449700795
E480400000 E479400819
E485000015 E484600143
E498600028 E497800367
E510200012 E509100435 
E524300009 E524100447
E530900029 E529700242
E548700001 E537500212
E560600337 E550700090
E570200036 E561800380
E579500040 E578200270 
E585500002 E580800133 
E603100068 E590400178
E616800054 E613100339
E617200003 E616800055
E655500011 E627300271
E672900055 E655700025
E679100046 E673300065
E694800051 E689700401 
E697200097 E695200067
E699400008 E698500180
E703900015 E703300141
E710400000 E706800145
E712100003 E710800060
E719000122 E714200110
E018400024 E013300395
E030100002 E029800414
E072600308 E057601233
E125300192 E077800535
E404500596 E142200754
E125200186 E064300184 
E198600692 E134800483
E251200371 E208001086
E312800618 E269500958
E373700547 E321200906
E391500057 E385700818
E714800162 E409100777
E451500059 E367800276
E103500527 E127100247 
